sNum	taskId	Target	Callout	Turker_Response1	Turker_Response2	Turker_Response3	Turker_Response4	Turker_Response5
1	2IUSTMOFXRDWEK7S1L4N6JFM4PCRUC	"the  soft buttons located in iPhone apps,"	You're absolutely right about the buttons!	choice1	choice1	choice1	choice1	choice1
2	235CWYB49F9W2UCOOOAOWST5KTIPTS	there's more to life than just the iPhone.	....than Nexus One too.	choice1	choice3	choice1	choice1	choice1
3	2YN7DZKPFE4IQFC49PWLHI9N2K95FE	It's more  about the  features and apps and Android seriously lacks on latter.	"unless you play games on your phone, [which the majority of people i know aren't accustomed  to], you `ll actually find that android has a better selection of free apps than the iphone. in  fact i can't remember an app that i `m missing."	choice3	choice3	choice3	choice3	choice3
4	214N9U8P9Y3C3YRO5QJU7IM0MHDFW5	to obvious	By the way it's not to obvious it should be too obvious	choice1	choice5	choice5	choice5	choice3
5	2BT2YU98JHSXVDYCN22JIIOBM2LOCQ	why the Pre was able to get big games companies to come onboard when it is a wasteland  in the android world	"Google didn't evangelize game companies, Apple did. The situation is almost the  same as the PC/Mac divide on games, back in the day."	choice3	choice5	choice1	choice3	choice1
6	2HOUFBNFSVGYVHY0SFN6WG1FVRQ5JH	"Actually the only one responsible for the YouTube and Twitter multitasking is the  app's developer.  The Facebook app allows you to watch  videos posted by friends in the YouTube app  and once its done it returns you to the same place you were in on Facebook.  To fix this you simply  could write a couple of negative reviews about the app (in the app store on the phone or computer)  and more than likely it will be addressed in the next update.  I think it hilarious that people complain about features that arent even available on another  device (my iPod touch doesnt feed me and wipe my arse).  Like the reviewer said, it seems you can?t  find a related review, blog post, or tweet that isn?t gauging the device based on how it compares  to Apple?s juggernaut.  This is because Apple was the first to do it and they still continue to be  the industry leader.  These iPhone Clones are playing catchup.  Good luck with that.  Marcus get a Zune, then you wont have to worry about apps, you ungrateful schmuck!"	Why do iPhone fanboys even bother?	choice3	choice3	choice3	choice1	choice3
7	20EKUDD8XMB7054QNYXU2O6T72XODQ	long-press home button to get to the recent app switcher is pretty nice once you  get used to remembering to use it	Palm users are already used to that.	choice3	choice1	choice1	choice5	choice1
8	2BT2YU98JHSXVDYCN22JIIOBM2LOCQ	a button that pops up links to the where you were in  the last three apps or the home page	"They do... if you hold the home button down for a long press, you see the  previous 6 apps that you ran."	choice1	choice5	choice1	choice1	choice3
9	2TEYB49F9SSWRZWS6BES25H5IWLRV1	"Um, Titter should be Twitter, sorry."	lol... i almost ran to my g1 to download this new porn app you speak of.	choice5	choice5	choice5	choice5	choice5
10	2U6BDDP8PJWO4F8ZK923Z39Z3Z95GD	a pervasive back-button on the iPhone wouldn't make much sense	"Right now, BGR is having a review and this back-button issue has been tackled too"	choice3	choice5	choice5	choice5	choice1
11	2ECYT3DHJHP8LF8B3RP80SX90RIU1J	"For that reason the app store already has sheer number of crap apps, dont take it  otherwise, so how do you decide about quality there?"	Huh?	choice5	choice5	choice3	choice5	choice5
12	21K74J79KQWABAIVTHOFLD4500GJHB	"Titter app,"	"Um, Titter should be Twitter, sorry."	choice5	choice5	choice5	choice5	choice5
13	20EKUDD8XMB7054QNYXU2O6T72XODQ	"kaiynne, learn to spell and use grammar if you're going to criticise grammar.  to should be too  are should be is"	good one.	choice3	choice5	choice1	choice5	choice5
14	2HOUFBNFSVGYVHY0SFN6WG1FVRQ5JH	when we first tried the iPhone it felt natural immediately	"I disagree that the iPhone just felt natural immediately... In my opinion it  feels restrictive and over simplified, sometimes to the point of frustration."	choice3	choice3	choice3	choice3	choice3
15	2IUSTMOFXRDWEK7S1L4N6JFM4PCRUC	when we first tried the iPhone it felt natural immediately	"That's very true.  With the iPhone, the sweet  goodness part of the UI is  immediately apparent.  After a minute or two, you're feeling empowered and comfortable."	choice1	choice1	choice1	choice1	choice1
16	26QJVCNHMVHZUEEROOB2G4J7C8T206	&lt;URL/&gt; http://www.android.com/market/ is so sparse  and ugly i have a hard time believing its the official store?	"I do agree that the market truly sucks.  We definitely need a desktop based Market, update all,  delete from list, better search (oh the irony!) ."	choice1	choice1	choice1	choice1	choice1
17	2HAPW1INMHG206EUAX26KFMFIC15I5	"I can't just  go back to Twitter though, I have to go to home screen and then back in."	maybe they should just have a button that pops up links to the where you were in  the last three apps or the home page	choice1	choice5	choice5	choice5	choice1
18	27ACM6IAA2SISWPLNNFQTKA4L6ULLM	"I can't just  go back to Twitter though, I have to go to home screen and then back in."	Actually the only one responsible for the YouTube and Twitter multitasking is the  app's developer.	choice5	choice3	choice3	choice5	choice5
19	2DABRI8IUB224B3A4FKLK3L0IZM5HC	the iPhone is  a truly great design.	"I disagree too... some things they get right, some things they do not."	choice3	choice3	choice3	choice3	choice3
20	24C8LZ6R70G91B34V6UVN7WSVHQN7I	Comparing absolute numbers of apps is stupid	"Yeah, particularly with a handful of successful iPhone apps, now, that cost two-three  hundred dollars and do nothing but churn out RSS readers their customers are flooding the App Store  with."	choice1	choice1	choice1	choice1	choice1
21	2FNPQJQ9OPLP7E2L9EOGHKCO29Y1ZG	i have a hard time believing its the official store	There is no official online Android Market.	choice1	choice1	choice1	choice1	choice5
22	2DABRI8IUB224B3A4FKLK3L0IZM5HC	There is no official online Android Market.	"There is no official Android market.  Combined with Google flipping off the phone companies by obsoleting a product in a couple of months  then bypassing them entirely by direct sales, that sure sounds like a recipe for domination against  the iPhone."	choice1	choice1	choice3	choice1	choice1
23	2ALDHJHP4BDHUIZPVEJXIX3G6T9X4R	The only `intuitive' interface is the nipple. After that it's all learned.	"Hahahaha, I said the exact same thing elsewhere in this thread."	choice1	choice1	choice5	choice1	choice1
24	2EPH57DZKPFIEGB440D2EL8ICB2D3L	that back button is key	Consistent user experience is the key. Pre does it without a back button with back gestures.	choice3	choice3	choice3	choice3	choice3
25	22DWJ5OPB0YZQ13P9J27NP9U6P4X5W	Android is soooooo much more usable	"As a Moto Droid user, I'll say that I don't like the responsiveness of the  touch screen sometimes. I wouldn't be all that surprised if the issue lies in the software  programming and can be corrected. The quality of the touch screen hardware is still solid in my  opinion."	choice5	choice1	choice3	choice3	choice3
26	27M5UUKQOYGRSYWEFVFG9107VJJFXY	cyrkit.com	"I used to love Cyrket, but &lt;URL/&gt; http://www.cyrket.com/ has long since stopped  working."	choice5	choice1	choice5	choice5	choice3
27	26QJVCNHMVHZUEEROOB2G4J7C8T206	"once a device becomes as dominant as a software platform for mobile  apps as the iPhone, it hardly makes sense to get anything else"	your arguments are ones I would use to support the Blackberry mobile platform and the  Windows platform.  Way to go there champ...you highlighted exactly why the iphone ain't all that.	choice3	choice3	choice3	choice3	choice3
