sNum	taskId	Target	Callout	Turker_Response1	Turker_Response2	Turker_Response3	Turker_Response4	Turker_Response5
1	2TYW40SPW1IRWJBPDRA3WAB6E6CE1G	Microsoft have a lack of vision. Maybe this will kick start `em	"To do something innovative ,first they have to change their CEO!"	choice1	choice1	choice1	choice1	choice1
2	2ECYT3DHJHP8LF8B3RP80SX90U71UL	support is non-existent	"And you sure will need it, even if it's just to change the battery, but as for software  I'm not so sure they will give you support for all the 140000 apps that you will have to use  because the ones Apple gives you are not so useful."	choice1	choice1	choice1	choice1	choice1
3	2ECYT3DHJHP8LF8B3RP80SX90U71UL	Chrome OS and Android run on top of the Linux kernel.	"You know Linux is the kernel, the stuff around that is GNU, and on top of that  is Gnome, KDE, or Android and ChromeOS."	choice5	choice1	choice1	choice1	choice3
4	2DH9RNDWIOV529NEQ0KG313YGQYGVO	2	4	choice5	choice3	choice5	choice5	choice5
5	2J9CJK63ZVE7RTVBH51QIJL5UU4Y9N	The iPad And Chrome OS Netbooks Are On A CollisionCourse	This is why E. Schmidt left Apple. He was able to see what'll happen  C'mon. Be serious.  I'm european.	choice1	choice1	choice1	choice1	choice1
6	21UCVLL3CA37WJ5GDR39WQU70O9Z9G	leaving Microsoft squeezed in the middle	"Let's remember that Microsoft is also said to release a tablet called the Courier. It looks way  more promising than the iPad. If Microsoft releases that this year is sure to definitely kill the  iPad, as it will offer much more functionalities thatn the iPieceofjunk."	choice3	choice3	choice3	choice3	choice5
7	2Q9J85OZIZELWC5G9BFQEEWP0CMYA2	leaving Microsoft squeezed in the middle	"and what makes you think that Microsoft is not working on a similar device right now. As a  matter of fact, we have all seen Courier. If that is not real then something on  the lines will  come up."	choice3	choice3	choice3	choice3	choice3
8	2WIOHOVR14I1UQXCWP8ELWA60UP76M	The iPad isn't a personal computer.	"Rick, plenty of folks who buy netbooks do not even need a real computer, and this is where  the iPad will fill that niche."	choice3	choice3	choice3	choice1	choice3
9	2Q9J85OZIZELWC5G9BFQEEWP0CMYA2	"Google, which plans to release its first Chrome OS-based netbooks in time for the holiday season  next year"	"Google has vapor ...  Meanwhile, Apple is busy working on iPad (hardware) iPhone v. 4  When holiday season rolls around, Apple is likely to be on another burned-in version of iPad  hardware..."	choice5	choice3	choice3	choice3	choice5
10	2QG8TNKIMZSQFMA8FPFM9PGVIU7YBX	"The Netbook user interface is essentially identical to a PC, no matter what size of screen is used."	"Obviously David Dennis hasn't actually used any tailor made netbook software.  &lt;URL/&gt;  http://www.ubuntuproductivity.com/journal/productivity/08/2008/focused-workflow-with-netbook-remix/  &lt;URL/&gt; http://geeksmack.net/hardware/100-intel-and-lg-form-alliance-for-the-better.html  Both of these run applications full-screen natively, not specific netbook applications, due to the  flexibility of Gnome, it's actually quite trivial to tell something to run fullscreen."	choice1	choice1	choice3	choice3	choice3
11	2WIOHOVR14I1UQXCWP8ELWA60UP76M	"Think about it from a developer's standpoint.  With Apple, you could develop something on the  iPhone or iPad first, and then tweak it a little bit to work on the other device.  You only have to  think about a max of two platforms, both with a huge base of users who have demonstrated that they  are will to pay good money for quality apps.  Then look at Google.  You could develop something for Android, and there's no guarantee that it  will even work on all android phones.  Plus, they have not done a good job training their users to  pay for apps, so you'll hardly make any money even if it's one of the best apps on the platform.   And then you can't leverage any of your android hard work on Chrome OS because the two have even  less in common.  If developers are the difference between success and failure (as a different TC post has said  today) then Apple has already won.  It's the ecosystem."	"I wish i was stupid enough to prove you wrong, but I wont, money is goood hehe, no need for  competition here."	choice1	choice3	choice1	choice3	choice3
12	2FNCOW0LGRZ7IEM68ZXVWUZWGIRZ8R	it will definitely compete with this class of device	"And less memory.  And no expansion ports.  And no option to run an IM app in the  background while you are creating a document.  So, no....it is far from a netbook equivalent."	choice3	choice3	choice3	choice3	choice3
