,callout_sentence,target_sentence,label
0,"Bing is good Most people who hate Bing actually have never tried it. In a recent blind test, where participants were asked to choose search and choose Bing or Google without knowing which is which, they chose Bing 2 to 1. I personally use Bing everyday. Bing rewards allow you to get free gift cards and other stuff, and it has Facebook integration.",Bing is better than Google,1
1,"Bing finds my web site easily, Google doesn't! Google has gone downhill in recent months - presumably they have changed their search algorithms yet again. Now it seems like sites that have multiple listings of environmental consultants are more likely to be on the first page than a consultancy that offers exactly what was required in the search. OK, I could try (again) to optimise my web site pages to suit Google, but that take a lot of time. I think on the current trajectory Bing will prevail. However, Google Scholar is still good for my work, so I won't abandon Google entirely. Phil Smith, Aquatonics Ltd",Bing is better than Google,1
2,"Bing finds my web site easily, Google doesn't! Google has gone downhill in recent months - presumably they have changed their search algorithms yet again. Now it seems like sites that have multiple listings of environmental consultants are more likely to be on the first page than a consultancy that offers exactly what was required in the search. OK, I could try (again) to optimise my web site pages to suit Google, but that take a lot of time. I think on the current trajectory Bing will prevail. However, Google Scholar is still good for my work, so I won't abandon Google entirely. Phil Smith, Aquatonics Ltd",Bing is better than Google,1
3,"Bing isn't being properly judged. Nearly every individual who prefers Google to Bing is a biased party. This is because those who hate Bing often use Google and never use Bing. Google ""fan-boys"" don't really know what Bing has to offer, and in many cases, have either never, or very rarely, ever used The Bing Engine, and thus, are ineligible to compare the two.",Bing is better than Google,1
4,Back Button Problem When I use Google it will not let me simply use my back button like it was supposed to work. I have to always hit it 2 or more times in fast order to simply go back one page. When I use Bing the back button works perfectly. I have read many posts that this is a problem with the Google program. I have used Google search for years and I have loved it. I am using Windows 7 on my laptop and I am now using Bing search. I like Google better when it used to work but Google is now forcing me to use Bing because Google will not reply to my questions and it appears that they can not fix this problem.,Bing is better than Google,1
5,Bing found our baseball website I tried to search for our baseball website in both Bing and Google after submitting the url to each site. Bing found it but not Google... Even after repeatedly submitting the url to Google it still will not find it... So I would say Bing is better in this case!,Bing is better than Google,1
6,"It's really prejudged It's quite ridiculous, to be frank, Bing has vastly improved since launch, I mean, it has some brilliant features that Google doesn't, and to be honest, Google is starting to feel dated, the search results don't seem to appear quite as fast, and either way, people should stop arguing. :)",Bing is better than Google,1
7,"Bing is better Bing = less ads and more privacy. Google has become too invasive with information (which is why I stopped using Google Drive). Microsoft is a software company while Google is an ad company. Bing has vastly improved it's search engine. It's interface is very simple with minimum ads. Thou I still believe Google still has better apps such as Google Maps and Google Translator. But ""Search Engine"" wise. Bing FTW.",Bing is better than Google,1
8,Bing is better because you get more accurate results and they have cool features like their backgrounds and whats happening recently in news and entertainment. People that prefer Google haven't used Bing. People that are used to Google use Bing just for one day and I guarantee you that you will have a better experience. I used to not use or like Bing but I recently started using it (but I still have Google as my homepage). But in the end Bing is better than Google.,Bing is better than Google,1
9,"Bing is Better than Google in many ways... Googleites are a lot like the old Appleites and can't see past the nose on their faces. I've used both and while I get OK search results from both, I don't care for the major advertising associated with Google. I am also put off by companies paying Google to raise their presence in searches. I have also read that if you search for something like Doritos, you will see many ads for Doritos. I also do love the cool crisp interface of Bing.",Bing is better than Google,1
10,"Bing Was Made By Microsoft Need I say more? Windows is made by Microsoft and everybody knows how bad that works. On the other hand, we have Google. A website that has been around since 1988. Bing has only been around since 2009. Bing's results are overly complicated. Google keeps the results simple. Google also has fun tricks. If you google up ""do a barrel roll"" for example, the google result page will do a barrel roll for you. If you search in ""do a barrel roll"" on Bing, it just gives you results of it. Same thing for ""zerg rush"" if you search it in on Bing, it does nothing. However, on Google, it gives you a game to play on the results where you have to click the o's to kill them before they eat up your results on Google. If you search up math equations you can put in on a calculator, Bing will just give you links. If you search it in on Google, it will give you a mini calculator with the result on the answer screen. On the home page for Google, they have interactive doodles on holidays, for example during the London 2012 olympics. Everyday of the olympics, Google had a doodle on their homepage where you play a game as if you were in the olympics. Bing's homepage just consists of professionally photographed images and a trending bar at the bottom. The Bing commercials say that more people prefer Bing over Google. Don't believe them, because more people prefer Google.",Bing is better than Google,0
11,"Google Is Better Google is much better than Bing. There is a reason why ""Google that"" is a common phrase. I have experience with both and Google is much more user friendly. Google also has much more services associated with their site and company such as Gmail, mapping apps, and is associated with Youtube.",Bing is better than Google,0
12,"No being isnt No being is not better , because I have always used Google since I was a little kid so Google is way better Google has almost been my answers to like homework my sister for spelling teaching us to do different things in life it would educate us a little",Bing is better than Google,0
