sNum	taskId	Target	Callout	Turker_Response1	Turker_Response2	Turker_Response3	Turker_Response4	Turker_Response5
1	22M2J1LY58BBC9HR536KQD16184R6U	Like WWF is a sport?????	world wildlife federation is a sport  Get your rifle!  World Wrestling Entertainment WWE is not a sport.	choice5	choice1	choice5	choice3	choice3
2	2P1HSTLB3L0JLL49BYAESREVHY3IUJ	just tweet that your a moron	lolz  your a moron!	choice5	choice1	choice1	choice3	choice3
3	27ACM6IAA2SISWPLNNFQTKA4LB4LL6	Adrian	Also why are there so many people named Adrian in these comments	choice5	choice5	choice5	choice5	choice5
4	2KOXBAT2D5NU8P06QDRJP5TYPGO26Q	"Its really pathetic when someone in the  Internet era says, that Twitter is the only way you can find a blog post."	Amen!	choice1	choice1	choice1	choice1	choice1
5	27ACM6IAA2SISWPLNNFQTKA4LB4LL6	ive come to the conclusion that its not techcrunchs bloggers. its the company  techcrunch its self.  here we all see more blabbering on about useless crap. do you guys get paid  to be this insignificant?  why couldnt you tweet this;  blah blah blah im going to a nerd fair and i want to tell everyone why im so cool for not trying to  be a sheep like all of you losers! and i still have 6 characters left  why couldnt you just tweet that your a moron! it would have saved us all the time.  all i read was look i can use big word to describe to everyone im a idiot.  now i realize techcrunch deserves you on the payroll. not because you try to sound smart but  because you waste more time.  so far 62 retweets.	WTF!	choice3	choice3	choice3	choice3	choice3
6	2IF3V0FK0COOCL9S9UGKT9LRZZ0OHJ	TechCrunch and Twitter are joined at the hip	ive come to the conclusion that its not techcrunchs bloggers. its the company  techcrunch its self.  here we all see more blabbering on about useless crap. do you guys get paid  to be this insignificant  why couldnt you tweet this;  blah blah blah im going to a nerd fair and i want to tell everyone why im so cool for not trying to  be a sheep like all of you losers! and i still have 6 characters left  why couldnt you just tweet that your a moron! it would have saved us all the time.  all i read was look i can use big word to describe to everyone im a idiot.  now i realize techcrunch deserves you on the payroll. not because you try to sound smart but  because you waste more time.	choice1	choice1	choice3	choice3	choice1
7	2MCUKQOYGNI0BPNZB3R197SVJ33ZHW	the way i heard of this article was through a tweet	me too.	choice1	choice1	choice1	choice1	choice1
8	27ZM8JIA0RYRTBXE67D0EBMJWNT50T	a tweet is fundamentally valueless	"Found your post on Twitter...,  Without it your readership would be so weak dude."	choice3	choice3	choice3	choice3	choice5
9	2QQD8J3VE7WW2VIPZ3UMLK8AWV7ZJ1	Making those services  look very uncool.	"Twitter is cool and all.  But i cringe when i hear some one say it on TV.  Like that old idiot  on Pardon the Interuption.  He contined to say, Do you tweet.  I just wanted to punch him in the  face.  ughhhhh"	choice3	choice3	choice3	choice1	choice1
10	27OSVQ8H88MU48GWBYMCR1RX0XM7Q8	"1800 words is 1796 too many, when I could have simply  pulled a Bartleby and said I prefer not to."	"Twitter or no Twitter, youre wasting your talent. Just because youre fairly good at writing your  way through a sentence doesnt mean youre actually saying anything interesting.  Sorry, but that really was masturbation, and Im kinda bummed I wont get the time back. And I  didnt skim."	choice3	choice1	choice3	choice5	choice3
