	callout_sentence	target_sentence	label
309	Sure MS Office monster has a superior functionality, but majority of private users and  many of businesses does not even need 90% of its power.	Google Docs are okay, but they utterly  pale in comparison to MS Office.	0
27	This is why E. Schmidt left Apple. He was able to see what'll happen  C'mon. Be serious.  I'm european.	The iPad And Chrome OS Netbooks Are On A CollisionCourse	1
267	I did. Ive heard it all before. Anyhoo....why do I tweet I tweet because Im too  lazyuninteresting to write blogs. Thats it.	You should have read it.	0
321	More software comes from Scandanavia than from India. Where is the Indian OS? Nearly all sotware  projects in India fail and are brought back or canceled. Sending software work to India is the kiss  of death for any company.  Name one new modern technology to come from India.	India might be doing the same for software and technology..	0
326	1000 seriously people	Its really pathetic when someone in the  Internet era says, that Twitter is the only way you can find a blog post.	1
234	There is no official online Android Market.	i have a hard time believing its the official store	1
140	reminds me of something i read about the original macos interface, where one had one  window per folder open.  it worked fine as long as one had a mostly flat and casual usage scenario. But once one scaled the  usage up, the number of windows open to reach a specific file exploded.  all in all, it seems that the apple designed interfaces work ok for casual use, but never really  scale.	navigation  on the iPhone is always one app deep at a time	1
153	it's easing off only according to wall street...	The recession is easing off.	0
69	I agree these two products are on a collision course, I've heard a lot of people lately trying to  come up with ways they'd use the iPad, and one of them is using the iPad as a web-tablet that you  can have around the house to quickly pickup and check email or google something. Sounds a lot like  what Google said you'd use a Chrome OS netbook for.	The iPad And Chrome OS Netbooks Are On A CollisionCourse	1
100	perhaps the platform/handset is actually nice and is worth reporting on? The  Android/Droid/Nexus gushing is no different than when the first few iPhones came out	non-stop promotion of Nexus One at techcrunch.com for two days	0
28	What? Don't use it their software then.	bloated company creates bloated  software	0
30	Try Woofer. It has a 1400 character MINIMUM! Httpwoofertime.com	What can be said in 140 characters is either trivial or abridged; in the first case it would be  better not to say it at all, and in the second case it would be better to give it the space it  deserves.	1
265	Amen brother! This is foreign takeover in a stealthy manner.	This is foreign takeover folks.	1
303	That's absolutely not true.  It took me a while to get used to the iPhone.	when we first tried the iPhone it felt natural immediately	0
212	Me too!	me too.	1
250	@DeeSadler is reporting 518 were laid off: &lt;URL/&gt; http://twitter.com/DeeSadler/status/5597822878	680  employees	0
102	Being no good? I hardly think you can call 22 successful commerical software  products no good.	some loser who is bitter because he got thrown out for  being no good	0
142	Yes, I'm going to blame them. They are the ones destroying the jobs created by  Americans.	You're going to blame the immigrants for you losing your job?	0
304	me too.	the way i heard of this article was through a tweet	1
3	yes its more an electronic newspaper than a computer.	The iPad isn't a personal computer.	1
217	Bobo/Mike Amarose: After reading all your comments, I'm not really surprised that  you were laid off. Actually, I am surprised since you're the type of person who is normally fired.	Foreign workers can't code. I only hire Amercians.	0
270	You can thank imported guest workers who are busy taking over Adobe and throwing every American  worker they can find out. Clueless Indian managers like Anil Bhavnani who runs up and down the  halls writing down the names of every American he can find on a yellow pad so he knows who to get  rid of. Brilliant imported Indian managers like Bhavnani who have to ask Americans where he can get  the MSDN CD from. Not only that but Bhavnani didn't even know how to play the Indian IT griftology  racket -- after being laid off, he asked me to come back to work for one week only to train my  slumdog replacement. I laughed in his face and sent him and Digby Horner an email telling them to  learn their racket better if they were going to play that game. The company is in chaos internally  and they have no idea what they are doing.  Or how about feature-of-the-day Viet Namese Acrobat project manager Lily Tran whose staff is 100%  Viet Namese? No racism or Xenophobia going on there, right professor? She isn't qualified to run a  noodle shop, let alone a software project. When I worked at Adobe and asked her for a GANTT chart,  she didn't even know what one was. No wonder Adobe has to lay people off. Their software is junk,  they've thrown out all the Americans out who created the company, and the place is filling up with  3rd world losers. In a few more years expect Adobe to end up like Sun bleeding red ink. Thanks  imported guest workers. You sure are brilliant. You sure are keeping America competitive.  Someone needs to find out how many in this layoff are Americans and how many are non-Americans. In  the 2005 layoff it was 100% Americans laid off. Not one single foreign imported worker was laid off.  This is foreign takeover folks. That's the reason for this layoff as with others in the past.	No one seems to know why exactly Adobe is doing these extensive layoffs	0
150	Na JoeYYY, I wish iWork.com was as good at online collaboration as Google Apps but it's  just not...With iWork.com (still beta after a couple years) you have to download the document to  make changes, very very very different from the real time collaborative editing of Google Apps...	they already have this in iWork	0
88	The reason that I am developing educational content for the iTablet/iPhone is  that a 3 year old can pop it open and use it. That said, I believe that it could be accomplished on  the Android as well. Also, I believe that Android will be a better platform for education  ultimately, and more cost effective.	With the iPhone, the sweet  goodness part of the UI is  immediately apparent.	1
97	Twitter helped me reach people I would have had a much, much harder time reaching and as a  consequence it has helped to speed the growth of my business.	a tweet is fundamentally valueless	0
305	And you sure will need it, even if it's just to change the battery, but as for software  I'm not so sure they will give you support for all the 140000 apps that you will have to use  because the ones Apple gives you are not so useful.	support is non-existent	1
222	And theres mathematical proof that the value of Twitter is zero. To paraphrase Douglas  Adams  The number of Tweets generated is infinite since manymost are generated automatically, we can  assume this will only continue and grow exponentially to be an infinite number. The number of  valuable Tweets is finite.  Any finite number divided by infinity is zero or a number  infinitesimally larger than, but never equal to, zero, or fI1I.	a tweet is fundamentally valueless	1
52	Not very convincing and logical devils advocate play	tweets are valuable because they stay true to one point, and dont let users ramble on	0
291	RobG -- You are right on the money. Overall, Adobe's a very wonderful company  to work for, but every year, just before the holidays, they solve their financial woes by laying  people off, and outsorcing jobs to India and China.	I do agree that Adobe is being converted to an East Indian company	1
333	Actually I have had an iPod Touch for over an year! Don't try to overrate the  device. The combined features of customization, multi-tasking, better camera, faster processor, etc  beats the shit out of iPhones.	Apple was the first to do it and they still continue to be  the industry leader	0
335	You got it. Any social media property will end up being a spam fest.	its become this bullshit marketing tool for  social media experts	1
